Fecha,Palabra Clave,Puntuación,País,Código Google Trend,Created_at
2023-02,Ansiedad,82,Austria,AT,23/05/2024
2023-03,Ansiedad,85,Austria,AT,23/05/2024
2023-04,Ansiedad,86,Austria,AT,23/05/2024
2023-05,Ansiedad,83,Austria,AT,23/05/2024
2023-06,Ansiedad,75,Austria,AT,23/05/2024
2023-07,Ansiedad,77,Austria,AT,23/05/2024
2023-08,Ansiedad,74,Austria,AT,23/05/2024
2023-09,Ansiedad,84,Austria,AT,23/05/2024
2023-10,Ansiedad,84,Austria,AT,23/05/2024
2023-11,Ansiedad,85,Austria,AT,23/05/2024
2023-12,Ansiedad,88,Austria,AT,23/05/2024
2024-01,Ansiedad,84,Austria,AT,23/05/2024
2024-02,Ansiedad,73,Austria,AT,23/05/2024
2024-03,Ansiedad,72,Austria,AT,23/05/2024
2024-04,Ansiedad,74,Austria,AT,23/05/2024
2024-05,Ansiedad,70,Austria,AT,23/05/2024
Categoría: Todas las categorías,Ansiedad,,Bélgica,BE,23/05/2024
Mes,Ansiedad,Ansiedad: (Bélgica),Bélgica,BE,23/05/2024
2010-01,Ansiedad,21,Bélgica,BE,23/05/2024
2010-02,Ansiedad,22,Bélgica,BE,23/05/2024
2010-03,Ansiedad,22,Bélgica,BE,23/05/2024
2010-04,Ansiedad,20,Bélgica,BE,23/05/2024
2010-05,Ansiedad,22,Bélgica,BE,23/05/2024
2010-06,Ansiedad,20,Bélgica,BE,23/05/2024
2010-07,Ansiedad,18,Bélgica,BE,23/05/2024
2010-08,Ansiedad,14,Bélgica,BE,23/05/2024
2010-09,Ansiedad,16,Bélgica,BE,23/05/2024
2010-10,Ansiedad,19,Bélgica,BE,23/05/2024
2010-11,Ansiedad,21,Bélgica,BE,23/05/2024
2010-12,Ansiedad,14,Bélgica,BE,23/05/2024
2011-01,Ansiedad,21,Bélgica,BE,23/05/2024
2011-02,Ansiedad,18,Bélgica,BE,23/05/2024
2011-03,Ansiedad,20,Bélgica,BE,23/05/2024
2011-04,Ansiedad,18,Bélgica,BE,23/05/2024
2011-05,Ansiedad,22,Bélgica,BE,23/05/2024
2011-06,Ansiedad,19,Bélgica,BE,23/05/2024
2011-07,Ansiedad,16,Bélgica,BE,23/05/2024
2011-08,Ansiedad,21,Bélgica,BE,23/05/2024
2011-09,Ansiedad,23,Bélgica,BE,23/05/2024
2011-10,Ansiedad,21,Bélgica,BE,23/05/2024
2011-11,Ansiedad,19,Bélgica,BE,23/05/2024
2011-12,Ansiedad,20,Bélgica,BE,23/05/2024
2012-01,Ansiedad,27,Bélgica,BE,23/05/2024
2012-02,Ansiedad,24,Bélgica,BE,23/05/2024
2012-03,Ansiedad,23,Bélgica,BE,23/05/2024
2012-04,Ansiedad,27,Bélgica,BE,23/05/2024
2012-05,Ansiedad,21,Bélgica,BE,23/05/2024
2012-06,Ansiedad,16,Bélgica,BE,23/05/2024
2012-07,Ansiedad,17,Bélgica,BE,23/05/2024
2012-08,Ansiedad,22,Bélgica,BE,23/05/2024
2012-09,Ansiedad,19,Bélgica,BE,23/05/2024
2012-10,Ansiedad,27,Bélgica,BE,23/05/2024
2012-11,Ansiedad,24,Bélgica,BE,23/05/2024
2012-12,Ansiedad,20,Bélgica,BE,23/05/2024
2013-01,Ansiedad,24,Bélgica,BE,23/05/2024
2013-02,Ansiedad,27,Bélgica,BE,23/05/2024
2013-03,Ansiedad,28,Bélgica,BE,23/05/2024
2013-04,Ansiedad,28,Bélgica,BE,23/05/2024
2013-05,Ansiedad,29,Bélgica,BE,23/05/2024
2013-06,Ansiedad,25,Bélgica,BE,23/05/2024
2013-07,Ansiedad,22,Bélgica,BE,23/05/2024
2013-08,Ansiedad,26,Bélgica,BE,23/05/2024
2013-09,Ansiedad,26,Bélgica,BE,23/05/2024
2013-10,Ansiedad,28,Bélgica,BE,23/05/2024
2013-11,Ansiedad,26,Bélgica,BE,23/05/2024
2013-12,Ansiedad,22,Bélgica,BE,23/05/2024
2014-01,Ansiedad,27,Bélgica,BE,23/05/2024
2014-02,Ansiedad,27,Bélgica,BE,23/05/2024
2014-03,Ansiedad,29,Bélgica,BE,23/05/2024
2014-04,Ansiedad,29,Bélgica,BE,23/05/2024
2014-05,Ansiedad,32,Bélgica,BE,23/05/2024
2014-06,Ansiedad,30,Bélgica,BE,23/05/2024
2014-07,Ansiedad,28,Bélgica,BE,23/05/2024
2014-08,Ansiedad,30,Bélgica,BE,23/05/2024
2014-09,Ansiedad,29,Bélgica,BE,23/05/2024
2014-10,Ansiedad,29,Bélgica,BE,23/05/2024
2014-11,Ansiedad,30,Bélgica,BE,23/05/2024
2014-12,Ansiedad,28,Bélgica,BE,23/05/2024
2015-01,Ansiedad,31,Bélgica,BE,23/05/2024
2015-02,Ansiedad,28,Bélgica,BE,23/05/2024
2015-03,Ansiedad,38,Bélgica,BE,23/05/2024
2015-04,Ansiedad,34,Bélgica,BE,23/05/2024
2015-05,Ansiedad,37,Bélgica,BE,23/05/2024
2015-06,Ansiedad,30,Bélgica,BE,23/05/2024
2015-07,Ansiedad,26,Bélgica,BE,23/05/2024
2015-08,Ansiedad,41,Bélgica,BE,23/05/2024
2015-09,Ansiedad,30,Bélgica,BE,23/05/2024
2015-10,Ansiedad,35,Bélgica,BE,23/05/2024
2015-11,Ansiedad,37,Bélgica,BE,23/05/2024
2015-12,Ansiedad,37,Bélgica,BE,23/05/2024
2016-01,Ansiedad,40,Bélgica,BE,23/05/2024
2016-02,Ansiedad,36,Bélgica,BE,23/05/2024
2016-03,Ansiedad,39,Bélgica,BE,23/05/2024
2016-04,Ansiedad,41,Bélgica,BE,23/05/2024
2016-05,Ansiedad,44,Bélgica,BE,23/05/2024
2016-06,Ansiedad,40,Bélgica,BE,23/05/2024
2016-07,Ansiedad,35,Bélgica,BE,23/05/2024
2016-08,Ansiedad,33,Bélgica,BE,23/05/2024
2016-09,Ansiedad,42,Bélgica,BE,23/05/2024
2016-10,Ansiedad,40,Bélgica,BE,23/05/2024
2016-11,Ansiedad,41,Bélgica,BE,23/05/2024
2016-12,Ansiedad,41,Bélgica,BE,23/05/2024
2017-01,Ansiedad,45,Bélgica,BE,23/05/2024
2017-02,Ansiedad,47,Bélgica,BE,23/05/2024
2017-03,Ansiedad,46,Bélgica,BE,23/05/2024
2017-04,Ansiedad,47,Bélgica,BE,23/05/2024
2017-05,Ansiedad,47,Bélgica,BE,23/05/2024
2017-06,Ansiedad,40,Bélgica,BE,23/05/2024
2017-07,Ansiedad,43,Bélgica,BE,23/05/2024
2017-08,Ansiedad,44,Bélgica,BE,23/05/2024
2017-09,Ansiedad,46,Bélgica,BE,23/05/2024
2017-10,Ansiedad,40,Bélgica,BE,23/05/2024
2017-11,Ansiedad,43,Bélgica,BE,23/05/2024
2017-12,Ansiedad,43,Bélgica,BE,23/05/2024
2018-01,Ansiedad,47,Bélgica,BE,23/05/2024
2018-02,Ansiedad,46,Bélgica,BE,23/05/2024
2018-03,Ansiedad,56,Bélgica,BE,23/05/2024
2018-04,Ansiedad,55,Bélgica,BE,23/05/2024
2018-05,Ansiedad,50,Bélgica,BE,23/05/2024
2018-06,Ansiedad,47,Bélgica,BE,23/05/2024
2018-07,Ansiedad,46,Bélgica,BE,23/05/2024
2018-08,Ansiedad,47,Bélgica,BE,23/05/2024
2018-09,Ansiedad,47,Bélgica,BE,23/05/2024
2018-10,Ansiedad,46,Bélgica,BE,23/05/2024
2018-11,Ansiedad,50,Bélgica,BE,23/05/2024
2018-12,Ansiedad,50,Bélgica,BE,23/05/2024
2019-01,Ansiedad,62,Bélgica,BE,23/05/2024
2019-02,Ansiedad,58,Bélgica,BE,23/05/2024
2019-03,Ansiedad,55,Bélgica,BE,23/05/2024
2019-04,Ansiedad,49,Bélgica,BE,23/05/2024
2019-05,Ansiedad,52,Bélgica,BE,23/05/2024
2019-06,Ansiedad,54,Bélgica,BE,23/05/2024
2019-07,Ansiedad,51,Bélgica,BE,23/05/2024
2019-08,Ansiedad,53,Bélgica,BE,23/05/2024
2019-09,Ansiedad,60,Bélgica,BE,23/05/2024
2019-10,Ansiedad,59,Bélgica,BE,23/05/2024
2019-11,Ansiedad,57,Bélgica,BE,23/05/2024
2019-12,Ansiedad,52,Bélgica,BE,23/05/2024
2020-01,Ansiedad,58,Bélgica,BE,23/05/2024
2020-02,Ansiedad,59,Bélgica,BE,23/05/2024
2020-03,Ansiedad,63,Bélgica,BE,23/05/2024
2020-04,Ansiedad,65,Bélgica,BE,23/05/2024
2020-05,Ansiedad,61,Bélgica,BE,23/05/2024
2020-06,Ansiedad,61,Bélgica,BE,23/05/2024
2020-07,Ansiedad,59,Bélgica,BE,23/05/2024
2020-08,Ansiedad,58,Bélgica,BE,23/05/2024
2020-09,Ansiedad,65,Bélgica,BE,23/05/2024
2020-10,Ansiedad,60,Bélgica,BE,23/05/2024
2020-11,Ansiedad,73,Bélgica,BE,23/05/2024
2020-12,Ansiedad,62,Bélgica,BE,23/05/2024
2021-01,Ansiedad,67,Bélgica,BE,23/05/2024
2021-02,Ansiedad,69,Bélgica,BE,23/05/2024
2021-03,Ansiedad,69,Bélgica,BE,23/05/2024
2021-04,Ansiedad,69,Bélgica,BE,23/05/2024
2021-05,Ansiedad,71,Bélgica,BE,23/05/2024
2021-06,Ansiedad,60,Bélgica,BE,23/05/2024
2021-07,Ansiedad,62,Bélgica,BE,23/05/2024
2021-08,Ansiedad,65,Bélgica,BE,23/05/2024
2021-09,Ansiedad,67,Bélgica,BE,23/05/2024
2021-10,Ansiedad,71,Bélgica,BE,23/05/2024
2021-11,Ansiedad,76,Bélgica,BE,23/05/2024
2021-12,Ansiedad,65,Bélgica,BE,23/05/2024
2022-01,Ansiedad,70,Bélgica,BE,23/05/2024
2022-02,Ansiedad,75,Bélgica,BE,23/05/2024
2022-03,Ansiedad,87,Bélgica,BE,23/05/2024
2022-04,Ansiedad,81,Bélgica,BE,23/05/2024
2022-05,Ansiedad,86,Bélgica,BE,23/05/2024
2022-06,Ansiedad,78,Bélgica,BE,23/05/2024
2022-07,Ansiedad,74,Bélgica,BE,23/05/2024
2022-08,Ansiedad,78,Bélgica,BE,23/05/2024
2022-09,Ansiedad,75,Bélgica,BE,23/05/2024
2022-10,Ansiedad,82,Bélgica,BE,23/05/2024
2022-11,Ansiedad,86,Bélgica,BE,23/05/2024
2022-12,Ansiedad,67,Bélgica,BE,23/05/2024
2023-01,Ansiedad,82,Bélgica,BE,23/05/2024
2023-02,Ansiedad,79,Bélgica,BE,23/05/2024
2023-03,Ansiedad,88,Bélgica,BE,23/05/2024
2023-04,Ansiedad,88,Bélgica,BE,23/05/2024
2023-05,Ansiedad,88,Bélgica,BE,23/05/2024
2023-06,Ansiedad,77,Bélgica,BE,23/05/2024
2023-07,Ansiedad,71,Bélgica,BE,23/05/2024
2023-08,Ansiedad,97,Bélgica,BE,23/05/2024
2023-09,Ansiedad,91,Bélgica,BE,23/05/2024
2023-10,Ansiedad,88,Bélgica,BE,23/05/2024
2023-11,Ansiedad,100,Bélgica,BE,23/05/2024
2023-12,Ansiedad,91,Bélgica,BE,23/05/2024
2024-01,Ansiedad,93,Bélgica,BE,23/05/2024
2024-02,Ansiedad,84,Bélgica,BE,23/05/2024
2024-03,Ansiedad,86,Bélgica,BE,23/05/2024
2024-04,Ansiedad,87,Bélgica,BE,23/05/2024
2024-05,Ansiedad,95,Bélgica,BE,23/05/2024
Categoría: Todas las categorías,Ansiedad,,Chipre,CY,23/05/2024
Mes,Ansiedad,Ansiedad: (Chipre),Chipre,CY,23/05/2024
2010-01,Ansiedad,100,Chipre,CY,23/05/2024
2010-02,Ansiedad,0,Chipre,CY,23/05/2024
2010-03,Ansiedad,0,Chipre,CY,23/05/2024
2010-04,Ansiedad,0,Chipre,CY,23/05/2024
2010-05,Ansiedad,0,Chipre,CY,23/05/2024
2010-06,Ansiedad,0,Chipre,CY,23/05/2024
2010-07,Ansiedad,0,Chipre,CY,23/05/2024
2010-08,Ansiedad,0,Chipre,CY,23/05/2024
2010-09,Ansiedad,0,Chipre,CY,23/05/2024
2010-10,Ansiedad,0,Chipre,CY,23/05/2024
2010-11,Ansiedad,0,Chipre,CY,23/05/2024
2010-12,Ansiedad,0,Chipre,CY,23/05/2024
2011-01,Ansiedad,0,Chipre,CY,23/05/2024
2011-02,Ansiedad,0,Chipre,CY,23/05/2024
2011-03,Ansiedad,27,Chipre,CY,23/05/2024
2011-04,Ansiedad,0,Chipre,CY,23/05/2024
2011-05,Ansiedad,0,Chipre,CY,23/05/2024
2011-06,Ansiedad,0,Chipre,CY,23/05/2024
2011-07,Ansiedad,0,Chipre,CY,23/05/2024
2011-08,Ansiedad,36,Chipre,CY,23/05/2024
2011-09,Ansiedad,0,Chipre,CY,23/05/2024
2011-10,Ansiedad,35,Chipre,CY,23/05/2024
2011-11,Ansiedad,23,Chipre,CY,23/05/2024
2011-12,Ansiedad,0,Chipre,CY,23/05/2024
2012-01,Ansiedad,0,Chipre,CY,23/05/2024
2012-02,Ansiedad,0,Chipre,CY,23/05/2024
2012-03,Ansiedad,27,Chipre,CY,23/05/2024
2012-04,Ansiedad,26,Chipre,CY,23/05/2024
2012-05,Ansiedad,0,Chipre,CY,23/05/2024
2012-06,Ansiedad,22,Chipre,CY,23/05/2024
2012-07,Ansiedad,25,Chipre,CY,23/05/2024
2012-08,Ansiedad,29,Chipre,CY,23/05/2024
2012-09,Ansiedad,34,Chipre,CY,23/05/2024
2012-10,Ansiedad,17,Chipre,CY,23/05/2024
2012-11,Ansiedad,31,Chipre,CY,23/05/2024
2012-12,Ansiedad,25,Chipre,CY,23/05/2024
2013-01,Ansiedad,29,Chipre,CY,23/05/2024
2013-02,Ansiedad,31,Chipre,CY,23/05/2024
2013-03,Ansiedad,20,Chipre,CY,23/05/2024
2013-04,Ansiedad,27,Chipre,CY,23/05/2024
2013-05,Ansiedad,37,Chipre,CY,23/05/2024
2013-06,Ansiedad,28,Chipre,CY,23/05/2024
2013-07,Ansiedad,28,Chipre,CY,23/05/2024
2013-08,Ansiedad,24,Chipre,CY,23/05/2024
2013-09,Ansiedad,25,Chipre,CY,23/05/2024
2013-10,Ansiedad,31,Chipre,CY,23/05/2024
2013-11,Ansiedad,29,Chipre,CY,23/05/2024
2013-12,Ansiedad,21,Chipre,CY,23/05/2024
2014-01,Ansiedad,24,Chipre,CY,23/05/2024
2014-02,Ansiedad,25,Chipre,CY,23/05/2024
2014-03,Ansiedad,30,Chipre,CY,23/05/2024
2014-04,Ansiedad,35,Chipre,CY,23/05/2024
2014-05,Ansiedad,36,Chipre,CY,23/05/2024
2014-06,Ansiedad,31,Chipre,CY,23/05/2024
2014-07,Ansiedad,30,Chipre,CY,23/05/2024
2014-08,Ansiedad,36,Chipre,CY,23/05/2024
2014-09,Ansiedad,34,Chipre,CY,23/05/2024
2014-10,Ansiedad,30,Chipre,CY,23/05/2024
2014-11,Ansiedad,41,Chipre,CY,23/05/2024
2014-12,Ansiedad,41,Chipre,CY,23/05/2024
2015-01,Ansiedad,37,Chipre,CY,23/05/2024
2015-02,Ansiedad,36,Chipre,CY,23/05/2024
2015-03,Ansiedad,45,Chipre,CY,23/05/2024
2015-04,Ansiedad,27,Chipre,CY,23/05/2024
2015-05,Ansiedad,31,Chipre,CY,23/05/2024
2015-06,Ansiedad,25,Chipre,CY,23/05/2024
2015-07,Ansiedad,26,Chipre,CY,23/05/2024
2015-08,Ansiedad,33,Chipre,CY,23/05/2024
2015-09,Ansiedad,32,Chipre,CY,23/05/2024
2015-10,Ansiedad,48,Chipre,CY,23/05/2024
2015-11,Ansiedad,47,Chipre,CY,23/05/2024
2015-12,Ansiedad,50,Chipre,CY,23/05/2024
2016-01,Ansiedad,44,Chipre,CY,23/05/2024
2016-02,Ansiedad,38,Chipre,CY,23/05/2024
2016-03,Ansiedad,31,Chipre,CY,23/05/2024
2016-04,Ansiedad,48,Chipre,CY,23/05/2024
2016-05,Ansiedad,37,Chipre,CY,23/05/2024
2016-06,Ansiedad,37,Chipre,CY,23/05/2024
2016-07,Ansiedad,45,Chipre,CY,23/05/2024
2016-08,Ansiedad,32,Chipre,CY,23/05/2024
2016-09,Ansiedad,37,Chipre,CY,23/05/2024
2016-10,Ansiedad,36,Chipre,CY,23/05/2024
2016-11,Ansiedad,50,Chipre,CY,23/05/2024
2016-12,Ansiedad,47,Chipre,CY,23/05/2024
2017-01,Ansiedad,49,Chipre,CY,23/05/2024
2017-02,Ansiedad,40,Chipre,CY,23/05/2024
2017-03,Ansiedad,45,Chipre,CY,23/05/2024
2017-04,Ansiedad,54,Chipre,CY,23/05/2024
2017-05,Ansiedad,49,Chipre,CY,23/05/2024
2017-06,Ansiedad,43,Chipre,CY,23/05/2024
2017-07,Ansiedad,29,Chipre,CY,23/05/2024
2017-08,Ansiedad,54,Chipre,CY,23/05/2024
2017-09,Ansiedad,46,Chipre,CY,23/05/2024
2017-10,Ansiedad,63,Chipre,CY,23/05/2024
2017-11,Ansiedad,51,Chipre,CY,23/05/2024
2017-12,Ansiedad,70,Chipre,CY,23/05/2024
2018-01,Ansiedad,44,Chipre,CY,23/05/2024
2018-02,Ansiedad,44,Chipre,CY,23/05/2024
2018-03,Ansiedad,55,Chipre,CY,23/05/2024
2018-04,Ansiedad,54,Chipre,CY,23/05/2024
2018-05,Ansiedad,61,Chipre,CY,23/05/2024
2018-06,Ansiedad,60,Chipre,CY,23/05/2024
2018-07,Ansiedad,48,Chipre,CY,23/05/2024
2018-08,Ansiedad,54,Chipre,CY,23/05/2024
2018-09,Ansiedad,55,Chipre,CY,23/05/2024
2018-10,Ansiedad,48,Chipre,CY,23/05/2024
2018-11,Ansiedad,52,Chipre,CY,23/05/2024
2018-12,Ansiedad,45,Chipre,CY,23/05/2024
2019-01,Ansiedad,56,Chipre,CY,23/05/2024
2019-02,Ansiedad,44,Chipre,CY,23/05/2024
2019-03,Ansiedad,42,Chipre,CY,23/05/2024
2019-04,Ansiedad,41,Chipre,CY,23/05/2024
2019-05,Ansiedad,44,Chipre,CY,23/05/2024
2019-06,Ansiedad,46,Chipre,CY,23/05/2024
2019-07,Ansiedad,40,Chipre,CY,23/05/2024
2019-08,Ansiedad,54,Chipre,CY,23/05/2024
2019-09,Ansiedad,61,Chipre,CY,23/05/2024
2019-10,Ansiedad,60,Chipre,CY,23/05/2024
2019-11,Ansiedad,52,Chipre,CY,23/05/2024
2019-12,Ansiedad,49,Chipre,CY,23/05/2024
2020-01,Ansiedad,42,Chipre,CY,23/05/2024
2020-02,Ansiedad,44,Chipre,CY,23/05/2024
2020-03,Ansiedad,47,Chipre,CY,23/05/2024
2020-04,Ansiedad,63,Chipre,CY,23/05/2024
2020-05,Ansiedad,59,Chipre,CY,23/05/2024
2020-06,Ansiedad,68,Chipre,CY,23/05/2024
